Min,Max,Mean,Median,Std,Label
480.0,480.0,480.0,480.0,0.0,0
304.0,1272.0,589.2522855240055,592.0,38.86142603230096,0
540.0,568.0,556.2352941176471,556.0,8.835286284949923,0
464.0,1636.0,1284.6300366300366,1420.0,296.5546952973921,0
556.0,1708.0,900.0,712.0,428.2130310955051,0
360.0,26180.0,2886.0,632.0,5777.614501966476,1
608.0,23016.0,9450.545454545454,5172.0,8074.331093754469,1
516.0,516.0,516.0,516.0,0.0,0
456.0,1136.0,836.6037735849056,852.0,147.34971104230448,0
388.0,640.0,517.8168083097262,532.0,40.254624668328425,0
348.0,1680.0,638.3589743589744,568.0,231.69691599371652,0
396.0,1264.0,982.5762711864406,1108.0,218.1630265837414,0
1212.0,1212.0,1212.0,1212.0,0.0,1
336.0,2260.0,1096.3524115755629,1156.0,270.7893034578261,0
2208.0,2208.0,2208.0,2208.0,0.0,1
584.0,604.0,597.0,598.0,6.855654600401044,0
1160.0,1160.0,1160.0,1160.0,0.0,0
396.0,844.0,676.5454545454545,684.0,96.41045174985732,0
708.0,1408.0,1225.8039215686274,1300.0,185.0258084391009,0
1548.0,1548.0,1548.0,1548.0,0.0,0
720.0,720.0,720.0,720.0,0.0,0
544.0,1584.0,931.157894736842,948.0,143.70835347580098,0
844.0,1100.0,1028.5217391304348,1040.0,52.7016785189481,1
508.0,1712.0,752.5128205128206,528.0,425.12302121735047,0
304.0,1368.0,520.2298470442331,476.0,159.79049973421257,0
544.0,1664.0,746.6666666666666,568.0,410.3700227301642,0
548.0,548.0,548.0,548.0,0.0,0
456.0,456.0,456.0,456.0,0.0,0
384.0,1080.0,869.8389366692729,880.0,44.90875834617746,0
488.0,488.0,488.0,488.0,0.0,0
728.0,1448.0,1128.0,1208.0,299.3325909419153,1
512.0,600.0,556.0,556.0,44.0,1
404.0,2988.0,885.1343283582089,664.0,561.1505476962245,0
452.0,1440.0,705.2307692307693,604.0,214.64179600375127,0
604.0,836.0,636.8135593220339,632.0,31.25210478404489,0
1036.0,1148.0,1117.0,1126.0,31.24633311819698,0
584.0,600.0,588.5714285714286,584.0,5.827450872677469,0
556.0,556.0,556.0,556.0,0.0,0
412.0,1104.0,635.4285714285714,574.0,165.53882336423783,0
348.0,940.0,478.8733850129199,480.0,43.51211764648716,0
628.0,704.0,650.5217391304348,648.0,14.163239512807955,0
396.0,2676.0,1106.3820224719102,1268.0,465.2137241258159,0
552.0,552.0,552.0,552.0,0.0,0
548.0,592.0,573.0666666666667,572.0,10.00977300219918,0
608.0,832.0,628.0,624.0,27.4178355257674,0
384.0,1676.0,610.5507246376811,576.0,177.15035260199494,0
728.0,1332.0,1224.1142857142856,1288.0,149.56083739279026,0
528.0,1800.0,895.7241379310345,874.0,212.300193537314,0
528.0,2140.0,1064.3076923076924,564.0,575.4644124016953,0
432.0,21184.0,4112.0,756.0,7638.109364670466,1
488.0,488.0,488.0,488.0,0.0,0
428.0,1708.0,727.4285714285714,576.0,408.2880135894468,0
448.0,484.0,470.6666666666667,480.0,16.110727964792762,1
512.0,600.0,556.0,556.0,44.0,1
1276.0,2064.0,1670.0,1670.0,394.0,1
344.0,9028.0,1696.1854304635765,1202.0,1478.6820219056342,1
456.0,708.0,580.1818181818181,580.0,24.838209257481857,0
404.0,2988.0,885.1343283582089,664.0,561.1505476962245,0
368.0,2520.0,1087.0,730.0,846.4153826579477,1
548.0,1684.0,840.0,570.0,426.9332500520427,0
420.0,1024.0,870.5882352941177,908.0,165.23461353073247,0
980.0,1524.0,1252.0,1252.0,272.0,1
616.0,860.0,738.0,738.0,122.0,0
548.0,548.0,548.0,548.0,0.0,0
304.0,9052.0,1013.1758530183728,948.0,578.8154099425844,1
520.0,1752.0,694.6486486486486,580.0,240.61028445322185,0
380.0,964.0,677.3877551020408,680.0,120.08038401659395,0
572.0,1676.0,941.3333333333334,576.0,519.4903485361612,0
488.0,1316.0,624.0,574.0,152.48878709163913,0
616.0,1296.0,1084.3495145631068,1124.0,112.4430996331218,0
960.0,1072.0,1018.2857142857144,1016.0,30.42018663818552,0
576.0,1240.0,923.4375,962.0,184.1003356698461,0
520.0,552.0,534.7142857142857,536.0,7.638516791597057,0
564.0,576.0,570.0,570.0,6.0,0
652.0,1056.0,905.2087912087912,904.0,37.64306526141419,0
360.0,1104.0,586.7652173913043,596.0,103.45175985094257,0
